S_No,FirstName,LastName,Education,Job_Role,DeptID,Gender,MaritalStatus,YearlyIncome,MonthlyIncome,Sales,BusinessTravel,Department,hire_date
1,John,Yang,LifeSciences,SalesExecutive,3,Female,Single,90000,5993,3578.2,Travel_Rarely,Sales,2007-06-21
2,Rob,Johnson,LifeSciences,ResearchScientist,2,Male,Married,80000,5130,3399.99,Travel_Frequently,Research&Development,2008-01-13
3,Ruben,Torres,Other,LaboratoryTechnician,2,Male,Single,50000,2090,699.0982,Travel_Rarely,Research&Development,2003-09-17
4,Christy,Zhu,LifeSciences,ResearchScientist,3,Female,Married,80000,2909,3078.27,Travel_Frequently,Research&Development,2004-02-17
5,Rob,Huang,Medical,LaboratoryTechnician,3,Male,Married,60000,3468,2319.99,Travel_Rarely,Research&Development,2005-08-17
6,John,Ruiz,LifeSciences,LaboratoryTechnician,3,Male,Single,70000,3068,539.99,Travel_Frequently,Research&Development,2002-06-07
7,John,Miller,Medical,LaboratoryTechnician,4,Female,Married,80000,2670,2328.49,Travel_Rarely,Research&Development,2002-06-07
8,Christy,Mehta,LifeSciences,LaboratoryTechnician,3,Male,Divorced,50000,2693,24.99,Travel_Rarely,Research&Development,2002-06-07
9,Rob,Verhoff,LifeSciences,ManufacturingDirector,2,Male,Single,45000,9526,24.99,Travel_Frequently,Research&Development,2002-06-07
10,Christy,Carlson,Medical,HealthcareRepresentative,3,Male,Married,78000,5237,3456.22,Travel_Rarely,Research&Development,2003-06-17
11,Gail,Erickson,Medical,LaboratoryTechnician,4,Male,Married,90000,2426,4319.99,Travel_Rarely,Research&Development,2005-09-21
12,Barry,Johnson,LifeSciences,LaboratoryTechnician,2,Female,Single,80000,4193,4968.59,Travel_Rarely,Research&Development,2001-01-13
13,Peter,Krebs,LifeSciences,ResearchScientist,3,Male,Divorced,50000,2911,59.53,Travel_Rarely,Research&Development,2006-01-03
14,Greg,Alderson,Medical,LaboratoryTechnician,3,Male,Divorced,45000,2661,658.87,Travel_Rarely,Research&Development,2007-05-21
15,Donald,OConnell,LifeSciences,LaboratoryTechnician,2,Male,Single,24336,2028,4461.6,Travel_Rarely,Research&Development,2005-06-25
16,Douglas,Grant,LifeSciences,ManufacturingDirector,4,Female,Divorced,119760,9980,21956,Travel_Rarely,Research&Development,2006-02-05
17,Jennifer,Whalen,LifeSciences,ResearchScientist,4,Male,Divorced,39576,3298,7255.6,Travel_Rarely,Research&Development,2007-02-07
18,Michael,Hartstein,Medical,LaboratoryTechnician,4,Male,Divorced,35220,2935,6457,Non-Travel,Research&Development,2002-08-17
19,Pat,Fay,LifeSciences,Manager,2,Female,Married,185124,15427,33939.4,Travel_Rarely,Sales,2002-08-16
20,Susan,Mavris,LifeSciences,ResearchScientist,3,Male,Single,47328,3944,8676.8,Travel_Rarely,Research&Development,2005-09-28
21,Hermann,Baer,Other,ManufacturingDirector,4,Female,Divorced,48132,4011,8824.2,Non-Travel,Research&Development,2005-09-30
22,Shelley,Higgins,LifeSciences,SalesRepresentative,2,Male,Single,40884,3407,7495.4,Travel_Rarely,Sales,2006-03-07
23,William,Gietz,LifeSciences,ResearchDirector,3,Female,Single,143928,11994,26386.8,Travel_Rarely,Research&Development,2007-12-07
24,Steven,King,LifeSciences,ResearchScientist,3,Male,Single,14784,1232,2710.4,Travel_Rarely,Research&Development,2002-12-07
25,Neena,Kochhar,Medical,ResearchScientist,3,Male,Single,35520,2960,6512,Travel_Rarely,Research&Development,2003-05-18
26,Lex,DeHaan,Other,Manager,3,Female,Divorced,229128,19094,42006.8,Travel_Rarely,Research&Development,2005-12-24
27,Alexander,Hunold,LifeSciences,ResearchScientist,1,Female,Single,47028,3919,8621.8,Travel_Frequently,Research&Development,2005-07-24
28,Bruce,Ernst,Marketing,SalesExecutive,3,Male,Married,81900,6825,15015,Travel_Rarely,Sales,2006-11-15
29,David,Austin,Medical,HealthcareRepresentative,2,Female,Married,122976,10248,22545.6,Travel_Rarely,Research&Development,2007-08-10
30,Valli,Pataballa,Marketing,Manager,3,Female,Single,227364,18947,41683.4,Travel_Rarely,Sales,2004-07-18
31,Diana,Lorentz,Medical,LaboratoryTechnician,3,Male,Single,29952,2496,5491.2,Travel_Rarely,Research&Development,2005-04-10
32,Nancy,Greenberg,Other,HealthcareRepresentative,3,Male,Married,77580,6465,14223,Travel_Rarely,Research&Development,2003-05-01
33,Daniel,Faviet,Medical,LaboratoryTechnician,2,Male,Single,26472,2206,4853.2,Travel_Rarely,Research&Development,2005-10-10
34,John,Chen,TechnicalDegree,SalesRepresentative,3,Male,Married,25032,2086,4589.2,Travel_Rarely,Sales,2007-11-16
35,Ismael,Sciarra,Medical,ResearchScientist,3,Male,Married,27516,2293,5044.6,Travel_Rarely,Research&Development,2005-07-16
36,JoseManuel,Urman,Medical,ResearchScientist,4,Female,Divorced,31740,2645,5819,Travel_Rarely,Research&Development,2006-09-28
37,Luis,Popp,Marketing,SalesRepresentative,2,Male,Married,32196,2683,5902.6,Travel_Rarely,Sales,2007-01-14
38,Den,Raphaely,Marketing,SalesRepresentative,3,Female,Married,24168,2014,4430.8,Travel_Rarely,Sales,2008-03-08
39,Alexander,Khoo,LifeSciences,ResearchScientist,2,Female,Married,41028,3419,7521.8,Travel_Rarely,Research&Development,2005-08-20
40,Shelli,Baida,LifeSciences,SalesExecutive,4,Female,Married,64512,5376,11827.2,Travel_Frequently,Sales,2005-10-30
41,Sigal,Tobias,Other,LaboratoryTechnician,3,Male,Divorced,23412,1951,4292.2,Travel_Rarely,Research&Development,2005-02-16
42,Guy,Himuro,LifeSciences,LaboratoryTechnician,3,Female,Divorced,28092,2341,5150.2,Travel_Rarely,Research&Development,2007-04-10
43,Karen,Colmenares,LifeSciences,LaboratoryTechnician,1,Male,Single,27516,2293,5044.6,Travel_Rarely,Research&Development,2004-06-14
44,Matthew,Weiss,LifeSciences,SalesExecutive,3,Male,Single,104712,8726,19197.2,Travel_Frequently,Sales,2006-08-26
45,Adam,Fripp,Medical,LaboratoryTechnician,3,Female,Single,48132,4011,8824.2,Travel_Frequently,Research&Development,2007-12-12
46,Payam,Kaufling,TechnicalDegree,ResearchDirector,3,Female,Married,234540,19545,42999,Travel_Rarely,Research&Development,2008-02-06
47,Shanta,Vollman,Marketing,SalesExecutive,3,Male,Single,54816,4568,10049.6,Non-Travel,Sales,2003-07-14
48,Kevin,Mourgos,LifeSciences,ResearchScientist,3,Male,Married,36264,3022,6648.4,Travel_Rarely,Research&Development,2005-10-26
49,Julia,Nayer,Marketing,SalesExecutive,3,Male,Single,69264,5772,12698.4,Travel_Frequently,Sales,2006-02-12
50,Irene,Mikkilineni,LifeSciences,LaboratoryTechnician,4,Male,Married,27228,2269,4991.8,Travel_Rarely,Research&Development,2006-04-06
51,James,Landry,LifeSciences,LaboratoryTechnician,2,Male,Single,64572,5381,11838.2,Travel_Rarely,Research&Development,2007-06-21
52,Steven,Markle,TechnicalDegree,LaboratoryTechnician,3,Male,Single,41292,3441,7570.2,Travel_Rarely,Research&Development,2008-01-13
53,Laura,Bissot,Marketing,SalesExecutive,3,Female,Divorced,65448,5454,11998.8,Travel_Rarely,Sales,2003-09-17
54,Mozhe,Atkinson,Medical,HealthcareRepresentative,2,Male,Married,118608,9884,21744.8,Non-Travel,Research&Development,2004-02-17
55,James,Marlow,Marketing,SalesExecutive,2,Female,Married,49884,4157,9145.4,Travel_Rarely,Sales,2005-08-17
56,TJ,Olson,LifeSciences,ResearchDirector,3,Female,Single,161496,13458,29607.6,Travel_Frequently,Research&Development,2002-06-07
57,Jason,Mallin,LifeSciences,SalesExecutive,3,Male,Married,108828,9069,19951.8,Travel_Frequently,Sales,2002-06-07
58,Michael,Rogers,Medical,LaboratoryTechnician,3,Female,Married,48168,4014,8830.8,Travel_Rarely,Research&Development,2002-06-07
59,Ki,Gee,LifeSciences,LaboratoryTechnician,3,Male,Divorced,70980,5915,13013,Travel_Rarely,Research&Development,2002-06-07
60,Hazel,Philtanker,LifeSciences,ManufacturingDirector,2,Male,Divorced,71916,5993,13184.6,Travel_Rarely,Research&Development,2003-06-17
61,Renske,Ladwig,Medical,ManufacturingDirector,3,Male,Married,73944,6162,13556.4,Travel_Rarely,Research&Development,2005-09-21
62,Stephen,Stiles,LifeSciences,LaboratoryTechnician,3,Female,Single,28872,2406,5293.2,Travel_Frequently,Research&Development,2001-01-13
63,John,Seo,Medical,ResearchDirector,2,Female,Divorced,224880,18740,41228,Travel_Rarely,Research&Development,2006-01-03
64,Joshua,Patel,LifeSciences,SalesExecutive,3,Female,Single,91644,7637,16801.4,Travel_Rarely,Sales,2007-05-21
65,Georgi,Facello,TechnicalDegree,HealthcareRepresentative,3,Female,Divorced,121152,10096,22211.2,Travel_Rarely,Research&Development,2005-06-25
66,Bezalel,Simmel,Medical,Manager,3,Female,Divorced,177072,14756,32463.2,Travel_Rarely,Research&Development,2006-02-05
67,Parto,Bamford,LifeSciences,ManufacturingDirector,2,Male,Single,77988,6499,14297.8,Travel_Frequently,Research&Development,2007-02-07
68,Chirstian,Koblick,LifeSciences,ResearchScientist,3,Male,Divorced,116688,9724,21392.8,Travel_Rarely,Research&Development,2002-08-17
69,Kyoichi,Maliniak,Medical,ResearchScientist,3,Male,Married,26328,2194,4826.8,Travel_Frequently,Research&Development,2002-08-16
70,Anneke,Preusig,Medical,ResearchScientist,2,Male,Married,40656,3388,7453.6,Travel_Rarely,Research&Development,2005-09-28
71,Tzvetan,Zielinski,LifeSciences,SalesExecutive,2,Female,Single,65676,5473,12040.6,Travel_Frequently,Sales,2005-09-30
72,Saniya,Kalloufi,LifeSciences,ResearchScientist,3,Male,Married,32436,2703,5946.6,Travel_Rarely,Research&Development,2006-03-07
73,Sumant,Peac,Medical,ResearchScientist,3,Male,Single,30012,2501,5502.2,Travel_Rarely,Research&Development,2007-12-07
74,Duangkaew,Piveteau,LifeSciences,ResearchScientist,3,Male,Married,74640,6220,13684,Travel_Rarely,Research&Development,2002-12-07
75,Mary,Sluis,LifeSciences,LaboratoryTechnician,4,Female,Married,36456,3038,6683.6,Travel_Rarely,Research&Development,2003-05-18
76,Patricio,Bridgland,LifeSciences,ManufacturingDirector,3,Female,Single,53088,4424,9732.8,Travel_Rarely,Research&Development,2005-12-24
77,Eberhardt,Terkki,Marketing,SalesExecutive,2,Male,Single,51744,4312,9486.4,Travel_Rarely,Sales,2005-07-24
78,Berni,Genin,Other,ResearchDirector,3,Male,Married,158940,13245,29139,Travel_Rarely,Research&Development,2006-11-15
79,Guoxiang,Nooteboom,Medical,ResearchDirector,3,Male,Single,163968,13664,30060.8,Travel_Rarely,Research&Development,2007-08-10
80,Kazuhito,Cappelletti,Medical,HumanResources,3,Male,Divorced,60252,5021,11046.2,Travel_Rarely,HumanResources,2004-07-18
81,Cristinel,Bouloucos,LifeSciences,LaboratoryTechnician,2,Male,Married,61512,5126,11277.2,Travel_Rarely,Research&Development,2005-04-10
82,Kazuhide,Peha,Medical,ResearchScientist,2,Male,Single,34308,2859,6289.8,Travel_Rarely,Research&Development,2003-05-01
83,Lillian,Haddadi,LifeSciences,SalesExecutive,3,Male,Married,122868,10239,22525.8,Travel_Rarely,Sales,2005-10-10
84,Mayuko,Warwick,Medical,ResearchScientist,1,Female,Divorced,63948,5329,11723.8,Non-Travel,Research&Development,2007-11-16
85,Ramzi,Erde,Medical,ManufacturingDirector,3,Male,Married,51900,4325,9515,Travel_Rarely,Research&Development,2005-07-16
86,Shahaf,Famili,LifeSciences,ManufacturingDirector,1,Male,Single,87120,7260,15972,Travel_Rarely,Research&Development,2006-09-28
87,Bojan,Montemayor,TechnicalDegree,SalesRepresentative,3,Male,Divorced,27864,2322,5108.4,Travel_Rarely,Sales,2007-01-14
88,Suzette,Pettey,LifeSciences,LaboratoryTechnician,3,Male,Married,24900,2075,4565,Travel_Rarely,Research&Development,2008-03-08
89,Prasadram,Heyers,LifeSciences,HealthcareRepresentative,2,Male,Married,49824,4152,9134.4,Travel_Rarely,Research&Development,2005-08-20
90,Yongqiao,Berztiss,Medical,SalesExecutive,2,Male,Single,115428,9619,21161.8,Travel_Rarely,Sales,2005-10-30
91,Divier,Reistad,LifeSciences,HealthcareRepresentative,2,Male,Married,162036,13503,29706.6,Travel_Frequently,Research&Development,2005-02-16
92,Domenick,Tempesti,Marketing,SalesExecutive,3,Male,Single,65292,5441,11970.2,Travel_Rarely,Sales,2007-04-10
93,Otmar,Herbst,Medical,SalesExecutive,2,Female,Divorced,62508,5209,11459.8,Travel_Rarely,Sales,2004-06-14
94,Elvis,Demeyer,Medical,HealthcareRepresentative,2,Male,Married,128076,10673,23480.6,Travel_Frequently,Research&Development,2006-08-26
95,Karsten,Joslin,Medical,SalesExecutive,3,Male,Single,60120,5010,11022,Travel_Rarely,Sales,2007-12-12
96,Jeong,Reistad,TechnicalDegree,ResearchDirector,3,Female,Married,162588,13549,29807.8,Travel_Rarely,Research&Development,2008-02-06
97,Arif,Merlo,Other,SalesExecutive,3,Female,Married,59988,4999,10997.8,Travel_Rarely,Sales,2003-07-14
98,Bader,Swan,Medical,SalesExecutive,3,Male,Married,50652,4221,9286.2,Non-Travel,Sales,2005-10-26
99,Alain,Chappelet,Medical,SalesExecutive,3,Male,Single,166464,13872,30518.4,Travel_Rarely,Sales,2006-02-12
100,Adamantios,Portugali,Medical,LaboratoryTechnician,3,Male,Married,24504,2042,4492.4,Non-Travel,Research&Development,2006-04-06
101,Pradeep,Makrucki,HumanResources,HumanResources,3,Male,Divorced,24876,2073,4560.6,Travel_Rarely,HumanResources,2007-06-21
102,Huan,Lortz,LifeSciences,ResearchScientist,3,Male,Single,35472,2956,6503.2,Travel_Rarely,Research&Development,2008-01-13
103,Alejandro,Brender,LifeSciences,LaboratoryTechnician,2,Female,Single,35112,2926,6437.2,Travel_Frequently,Research&Development,2003-09-17
104,Weiyi,Meriste,Other,ResearchScientist,3,Female,Single,57708,4809,10579.8,Travel_Rarely,Research&Development,2004-02-17
105,Uri,Lenart,LifeSciences,HealthcareRepresentative,2,Male,Divorced,61956,5163,11358.6,Non-Travel,Research&Development,2005-08-17
106,Magy,Stamatiou,HumanResources,Manager,2,Female,Married,226128,18844,41456.8,Non-Travel,HumanResources,2002-06-07
107,Yishay,Tzvieli,LifeSciences,ResearchDirector,3,Female,Married,218064,18172,39978.4,Travel_Frequently,Research&Development,2002-06-07
108,Mingsen,Casley,Marketing,SalesExecutive,2,Male,Single,68928,5744,12636.8,Travel_Rarely,Sales,2002-06-07
109,Moss,Shanbhogue,Medical,ResearchScientist,2,Male,Married,34668,2889,6355.8,Travel_Rarely,Research&Development,2002-06-07
110,Lucien,Rosenbaum,Medical,LaboratoryTechnician,3,Female,Single,34452,2871,6316.2,Travel_Rarely,Research&Development,2003-06-17
111,Zvonko,Nyanchama,Medical,HealthcareRepresentative,2,Female,Single,89808,7484,16464.8,Travel_Frequently,Research&Development,2005-09-21
112,Florian,Syrotiuk,LifeSciences,LaboratoryTechnician,1,Male,Single,72888,6074,13362.8,Travel_Frequently,Research&Development,2001-01-13
113,Basil,Tramer,HumanResources,Manager,4,Female,Single,207936,17328,38121.6,Non-Travel,HumanResources,2006-01-03
114,Yinghua,Dredge,LifeSciences,LaboratoryTechnician,3,Male,Married,33288,2774,6102.8,Travel_Rarely,Research&Development,2007-05-21
115,Hidefumi,Caine,LifeSciences,ResearchScientist,2,Female,Divorced,54060,4505,9911,Travel_Rarely,Research&Development,2005-06-25
116,Heping,Nitsch,LifeSciences,SalesExecutive,3,Male,Single,89136,7428,16341.6,Travel_Rarely,Sales,2006-02-05
117,Sanjiv,Zschoche,Medical,Manager,2,Female,Single,139572,11631,25588.2,Travel_Rarely,Research&Development,2007-02-07
118,Mayumi,Schueller,TechnicalDegree,SalesExecutive,3,Female,Married,116856,9738,21423.6,Travel_Frequently,Sales,2002-08-17
119,Georgy,Dredge,LifeSciences,LaboratoryTechnician,3,Female,Divorced,34020,2835,6237,Travel_Rarely,Research&Development,2002-08-16
120,Brendon,Bernini,LifeSciences,Manager,3,Male,Married,203508,16959,37309.8,Travel_Frequently,Sales,2005-09-28
121,Ebbe,Callaway,LifeSciences,ResearchScientist,1,Male,Divorced,31356,2613,5748.6,Travel_Frequently,Research&Development,2005-09-30
122,Berhard,McFarlin,Marketing,SalesExecutive,3,Male,Married,73752,6146,13521.2,Non-Travel,Sales,2006-03-07
123,Alejandro,McAlpine,LifeSciences,ResearchScientist,3,Female,Married,59556,4963,10918.6,Travel_Rarely,Research&Development,2007-12-07
124,Breannda,Billingsley,LifeSciences,ResearchDirector,3,Male,Single,234444,19537,42981.4,Travel_Rarely,Research&Development,2002-12-07
125,Tse,Herber,LifeSciences,SalesExecutive,1,Male,Married,74064,6172,13578.4,Travel_Rarely,Sales,2003-05-18
126,Anoosh,Peyn,Other,ResearchScientist,2,Female,Married,28416,2368,5209.6,Travel_Rarely,Research&Development,2005-12-24
127,Gino,Leonhardt,Medical,HealthcareRepresentative,3,Female,Married,123744,10312,22686.4,Travel_Rarely,Research&Development,2005-07-24
128,Udi,Jansch,Marketing,SalesRepresentative,3,Male,Single,20100,1675,3685,Travel_Rarely,Sales,2006-11-15
129,Satosi,Awdeh,TechnicalDegree,LaboratoryTechnician,3,Male,Married,30276,2523,5550.6,Travel_Rarely,Research&Development,2007-08-10
130,Kwee,Schusler,Medical,ManufacturingDirector,3,Female,Married,78804,6567,14447.4,Travel_Rarely,Research&Development,2004-07-18
131,Claudi,Stavenow,Medical,ResearchScientist,4,Female,Single,56868,4739,10425.8,Travel_Frequently,Research&Development,2005-04-10
132,Charlene,Brattka,Marketing,SalesExecutive,3,Female,Single,110496,9208,20257.6,Travel_Frequently,Sales,2003-05-01
133,Margareta,Bierman,LifeSciences,SalesExecutive,1,Female,Married,54708,4559,10029.8,Travel_Rarely,Sales,2005-10-10
134,Reuven,Garigliano,LifeSciences,SalesExecutive,3,Male,Divorced,98268,8189,18015.8,Travel_Rarely,Sales,2007-11-16
135,Hisao,Lipner,LifeSciences,HumanResources,3,Female,Married,35304,2942,6472.4,Travel_Rarely,HumanResources,2005-07-16
136,Hironoby,Sidou,Medical,ManufacturingDirector,3,Male,Divorced,59292,4941,10870.2,Travel_Rarely,Research&Development,2006-09-28
137,Shir,McClurg,LifeSciences,ManufacturingDirector,1,Male,Single,127800,10650,23430,Travel_Frequently,Research&Development,2007-01-14
138,Mokhtar,Bernatsky,LifeSciences,SalesExecutive,2,Female,Married,70824,5902,12984.4,Travel_Rarely,Sales,2008-03-08
139,Gao,Dolinsky,LifeSciences,SalesExecutive,2,Male,Married,103668,8639,19005.8,Travel_Rarely,Sales,2005-08-20
140,Erez,Ritzmann,HumanResources,HumanResources,3,Male,Married,76164,6347,13963.4,Travel_Rarely,HumanResources,2005-10-30
141,Mona,Azuma,Medical,LaboratoryTechnician,3,Female,Single,50400,4200,9240,Travel_Rarely,Research&Development,2005-02-16
142,Danel,Mondadori,Medical,ResearchScientist,3,Male,Single,41424,3452,7594.4,Travel_Rarely,Research&Development,2007-04-10
143,Kshitij,Gils,TechnicalDegree,ResearchScientist,3,Female,Single,51804,4317,9497.4,Travel_Rarely,Research&Development,2004-06-14
144,Premal,Baek,LifeSciences,ResearchScientist,3,Female,Single,31584,2632,5790.4,Travel_Rarely,Research&Development,2006-08-26
145,Zhongwei,Rosen,Medical,SalesExecutive,1,Male,Divorced,56016,4668,10269.6,Travel_Frequently,Sales,2007-12-12
146,Parviz,Lortz,TechnicalDegree,ResearchScientist,3,Female,Divorced,38448,3204,7048.8,Travel_Rarely,Research&Development,2008-02-06
147,Vishv,Zockler,Medical,LaboratoryTechnician,2,Male,Single,32640,2720,5984,Travel_Rarely,Research&Development,2003-07-14
148,Tuval,Kalloufi,LifeSciences,Manager,2,Male,Divorced,206172,17181,37798.2,Travel_Frequently,Research&Development,2005-10-26
